Date,index,Open,High,Low,Close,Volume,Bid1_Price,Bid1_Quantity,Ask1_Price,Ask1_Quantity,Bid2_Price,Bid2_Quantity,Ask2_Price,Ask2_Quantity,Bid3_Price,Bid3_Quantity,Ask3_Price,Ask3_Quantity,Bid4_Price,Bid4_Quantity,Ask4_Price,Ask4_Quantity,Bid5_Price,Bid5_Quantity,Ask5_Price,Ask5_Quantity
2023-05-27 17:30:00,0,26674.37,26674.37,26674.36,26674.36,1.37185,26674.36000000,1.07186000,26674.37000000,2.72393000,26674.27000000,0.89112000,26674.43000000,0.79179000,26674.26000000,0.28648000,26674.44000000,0.31370000,26674.24000000,0.49492000,26674.50000000,0.47116000,26674.11000000,1.48505000,26674.53000000,0.24050000
2023-05-27 17:31:00,0,26677.7,26681.7,26677.69,26681.69,5.19923,26681.69000000,1.06926000,26681.70000000,6.32879000,26681.67000000,0.20276000,26681.71000000,0.34212000,26681.60000000,0.28628000,26681.74000000,0.10000000,26681.50000000,0.49737000,26681.81000000,0.37468000,26681.49000000,1.58185000,26681.87000000,0.00066000
2023-05-27 17:32:00,0,26681.69,26681.7,26681.69,26681.69,0.98169,26681.69000000,1.08556000,26681.70000000,6.74699000,26681.67000000,0.20276000,26681.74000000,0.00376000,26681.66000000,0.03746000,26681.84000000,0.04992000,26681.61000000,1.05630000,26681.85000000,0.53235000,26681.60000000,0.28628000,26681.87000000,0.00066000
2023-05-27 17:33:00,0,26681.6,26681.61,26681.6,26681.6,2.39359,26681.60000000,1.93803000,26681.61000000,3.38241000,26681.59000000,0.00885000,26681.63000000,0.26765000,26681.58000000,0.09536000,26681.64000000,0.03746000,26681.49000000,0.30052000,26681.66000000,0.00455000,26681.48000000,0.04900000,26681.67000000,2.91178000
2023-05-27 17:34:00,0,26680.42,26684.12,26680.32,26684.11,12.16495,26684.11000000,6.78869000,26684.12000000,3.07684000,26683.96000000,0.05281000,26684.13000000,0.41964000,26683.95000000,0.03746000,26684.28000000,0.31339000,26683.49000000,0.03822000,26684.29000000,0.02706000,26683.48000000,0.00749000,26684.35000000,0.33491000
2023-05-27 17:35:00,0,26686.55,26686.55,26686.54,26686.54,1.65163,26686.54000000,10.42993000,26686.55000000,0.73131000,26686.53000000,0.01081000,26686.57000000,0.02044000,26686.40000000,0.07432000,26686.59000000,0.00341000,26686.21000000,0.00699000,26686.61000000,0.27245000,26686.20000000,0.37461000,26686.69000000,0.19564000
2023-05-27 17:36:00,0,26686.68,26686.69,26684.11,26684.11,4.17281,26684.11000000,0.16343000,26684.12000000,10.74071000,26683.95000000,0.00066000,26684.13000000,0.16456000,26683.86000000,0.24011000,26684.14000000,0.01283000,26683.77000000,0.03746000,26684.16000000,0.00480000,26683.74000000,0.28439000,26684.28000000,0.27688000
2023-05-27 17:37:00,0,26684.11,26684.12,26684.11,26684.12,4.25001,26684.11000000,4.31625000,26684.12000000,4.58197000,26684.10000000,0.01395000,26684.14000000,0.04627000,26683.95000000,0.00066000,26684.28000000,0.27688000,26683.94000000,0.26366000,26684.31000000,0.10886000,26683.86000000,0.24011000,26684.99000000,0.00066000
2023-05-27 17:38:00,0,26707.76,26719.47,26705.93,26719.47,34.90557,26719.47000000,6.13130000,26719.48000000,3.59778000,26719.39000000,2.85340000,26719.49000000,0.00038000,26718.96000000,0.04688000,26719.74000000,0.28539000,26718.95000000,0.37415000,26719.79000000,0.00038000,26718.88000000,0.00633000,26719.83000000,0.00109000
2023-05-27 17:39:00,0,26715.57,26718.62,26715.57,26717.77,10.99984,26717.77000000,0.37890000,26717.78000000,5.43864000,26717.76000000,0.03179000,26718.36000000,0.09354000,26717.75000000,0.00066000,26718.38000000,0.01499000,26717.56000000,0.41008000,26718.58000000,0.01765000,26717.55000000,0.28941000,26718.62000000,0.37916000
2023-05-27 17:40:00,0,26728.93,26737.66,26725.28,26725.29,48.6549,26725.28000000,0.14859000,26725.29000000,5.29465000,26725.24000000,0.03817000,26725.36000000,0.37305000,26725.13000000,0.00642000,26725.37000000,0.79681000,26725.03000000,0.00066000,26725.54000000,0.06878000,26724.53000000,0.04900000,26725.56000000,0.00694000
2023-05-27 17:41:00,0,26725.29,26725.29,26722.95,26722.95,1.41392,26722.95000000,7.84410000,26722.96000000,3.30363000,26722.89000000,0.29660000,26722.97000000,0.00698000,26722.88000000,0.00044000,26723.00000000,0.52402000,26722.82000000,0.09358000,26723.33000000,0.07884000,26722.79000000,0.15693000,26723.46000000,0.08064000
2023-05-27 17:42:00,0,26719.91,26719.92,26719.91,26719.91,3.71508,26719.91000000,5.70542000,26719.92000000,2.91228000,26719.90000000,0.09358000,26719.94000000,0.30680000,26719.89000000,0.01394000,26719.96000000,0.01794000,26719.83000000,0.00066000,26719.99000000,1.74655000,26719.73000000,0.09358000,26720.00000000,2.04250000
2023-05-27 17:43:00,0,26719.92,26719.92,26718.95,26718.96,0.93695,26718.95000000,1.29539000,26718.96000000,3.53920000,26718.94000000,1.00537000,26718.97000000,1.70204000,26718.93000000,0.01525000,26718.98000000,6.97859000,26718.92000000,1.12027000,26719.00000000,0.01271000,26718.91000000,0.30000000,26719.28000000,0.02433000
2023-05-27 17:44:00,0,26726.32,26733.3,26726.31,26733.29,5.51845,26733.29000000,0.82048000,26733.30000000,4.17040000,26732.34000000,0.05057000,26733.31000000,0.00088000,26732.33000000,0.44119000,26733.35000000,0.28861000,26732.31000000,0.16754000,26733.43000000,1.12000000,26732.15000000,1.20936000,26733.47000000,0.07138000
2023-05-27 17:45:00,0,26732.34,26732.34,26726.59,26726.59,7.31414,26726.59000000,0.39622000,26726.60000000,5.30357000,26726.17000000,0.29985000,26726.61000000,1.38057000,26726.09000000,0.08746000,26726.62000000,0.99676000,26726.07000000,0.00066000,26726.66000000,1.03935000,26725.66000000,0.55839000,26726.85000000,0.37404000
2023-05-27 17:46:00,0,26725.79,26727.11,26721.03,26727.11,18.55075,26727.30000000,12.20278000,26727.31000000,0.10626000,26727.25000000,0.32734000,26727.32000000,0.00381000,26727.24000000,0.93582000,26727.63000000,0.00066000,26727.23000000,1.00000000,26727.82000000,0.00088000,26727.10000000,2.72694000,26727.91000000,0.00853000
2023-05-27 17:47:00,0,26750.28,26750.29,26742.03,26747.56,12.85691,26747.56000000,6.18218000,26747.57000000,2.19916000,26747.54000000,0.03813000,26747.58000000,0.00044000,26747.53000000,1.40220000,26747.60000000,0.07697000,26747.50000000,0.38837000,26747.61000000,0.00337000,26747.49000000,0.60427000,26747.67000000,0.01415000
2023-05-27 17:48:00,0,26747.57,26747.57,26747.56,26747.57,1.48542,26747.56000000,10.59446000,26747.57000000,0.48780000,26747.54000000,1.56537000,26747.58000000,0.37048000,26747.52000000,0.14955000,26747.59000000,1.67989000,26747.51000000,0.10005000,26747.62000000,0.03014000,26747.50000000,0.38837000,26747.63000000,0.10580000
2023-05-27 17:49:00,0,26755.47,26760.0,26755.47,26760.0,10.51491,26759.99000000,8.85909000,26760.00000000,5.00572000,26759.77000000,0.37369000,26760.01000000,0.04909000,26759.33000000,0.03735000,26760.03000000,0.11494000,26759.32000000,0.77346000,26760.16000000,0.00153000,26759.12000000,0.04900000,26760.19000000,0.01908000
2023-05-27 17:50:00,0,26753.62,26753.62,26745.64,26745.64,5.21086,26745.64000000,3.60453000,26745.65000000,6.47510000,26745.56000000,0.32146000,26745.69000000,0.50418000,26745.32000000,0.00100000,26745.70000000,0.37389000,26745.31000000,0.00066000,26745.84000000,0.33970000,26745.26000000,0.03737000,26745.99000000,0.03737000
2023-05-27 17:51:00,0,26745.0,26751.17,26743.66,26751.16,25.35252,26751.16000000,7.51147000,26751.17000000,3.31324000,26750.68000000,0.00548000,26751.18000000,0.00157000,26750.33000000,0.29419000,26751.20000000,0.24636000,26750.18000000,0.03737000,26751.28000000,0.11524000,26750.07000000,0.03813000,26751.31000000,0.00646000
2023-05-27 17:52:00,0,26742.32,26742.32,26733.08,26733.08,8.66173,26733.08000000,6.43302000,26733.09000000,5.12105000,26733.00000000,0.04900000,26733.11000000,0.02478000,26732.99000000,0.92323000,26733.35000000,0.29578000,26732.97000000,0.03739000,26733.37000000,0.07994000,26732.88000000,0.30207000,26733.39000000,0.15041000
2023-05-27 17:53:00,0,26733.08,26736.24,26733.08,26736.24,4.65294,26736.24000000,12.98826000,26736.25000000,0.06305000,26736.22000000,2.75045000,26736.47000000,0.00066000,26735.46000000,0.03815000,26736.57000000,0.26524000,26735.45000000,0.96300000,26736.64000000,0.22458000,26735.43000000,0.93648000,26736.81000000,0.07693000
2023-05-27 17:54:00,0,26734.23,26747.6,26734.22,26747.6,10.54838,26747.59000000,0.50749000,26747.60000000,7.31283000,26747.58000000,0.38938000,26747.65000000,0.36500000,26747.24000000,0.05442000,26747.67000000,0.00128000,26747.17000000,0.04900000,26747.68000000,0.09343000,26746.94000000,0.03813000,26747.69000000,0.00038000
2023-05-27 17:55:00,0,26748.86,26748.87,26743.01,26748.0,12.14543,26747.89000000,7.93867000,26747.90000000,0.00078000,26747.80000000,2.96408000,26747.91000000,0.00066000,26747.77000000,1.28043000,26748.00000000,0.32017000,26747.68000000,2.72539000,26748.03000000,0.08173000,26747.57000000,0.26911000,26748.16000000,0.23350000
